0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,952,1.60,952,1.60,625,625,625
610 - 624,875,1.50,1827,3.10,610,624,617
600 - 609,973,1.70,2800,4.80,600,609,604
590 - 599,452,0.80,3252,5.60,590,599,594
580 - 589,677,1.20,3929,6.80,580,589,584
570 - 579,1143,2.00,5072,8.70,570,579,574
560 - 569,1281,2.20,6353,11.00,560,569,564
550 - 559,1324,2.30,7677,13.20,550,559,554
540 - 549,1509,2.60,9186,15.80,540,549,544
530 - 539,1340,2.30,10526,18.10,530,539,534
520 - 529,1363,2.30,11889,20.50,520,529,524
510 - 519,1086,1.90,12975,22.40,510,519,514
500 - 509,1203,2.10,14178,24.40,500,509,504
490 - 499,1420,2.40,15598,26.90,490,499,494
480 - 489,1644,2.80,17242,29.70,480,489,484
470 - 479,1626,2.80,18868,32.50,470,479,474
460 - 469,1742,3.00,20610,35.50,460,469,464
450 - 459,1710,2.90,22320,38.50,450,459,454
440 - 449,1744,3.00,24064,41.50,440,449,444
430 - 439,1495,2.60,25559,44.10,430,439,434
420 - 429,1530,2.60,27089,46.70,420,429,424
410 - 419,1383,2.40,28472,49.10,410,419,414
400 - 409,1558,2.70,30030,51.80,400,409,404
390 - 399,1498,2.60,31528,54.40,390,399,394
380 - 389,1480,2.60,33008,56.90,380,389,384
370 - 379,1503,2.60,34511,59.50,370,379,374
360 - 369,1418,2.40,35929,61.90,360,369,364
350 - 359,1415,2.40,37344,64.40,350,359,354
340 - 349,1442,2.50,38786,66.90,340,349,344
330 - 339,1382,2.40,40168,69.20,330,339,334
320 - 329,1331,2.30,41499,71.50,320,329,324
310 - 319,1219,2.10,42718,73.60,310,319,314
300 - 309,1214,2.10,43932,75.70,300,309,304
290 - 299,1139,2.00,45071,77.70,290,299,294
280 - 289,1059,1.80,46130,79.50,280,289,284
270 - 279,1009,1.70,47139,81.30,270,279,274
260 - 269,942,1.60,48081,82.90,260,269,264
250 - 259,802,1.40,48883,84.30,250,259,254
240 - 249,752,1.30,49635,85.60,240,249,244
230 - 239,663,1.10,50298,86.70,230,239,234
220 - 229,658,1.10,50956,87.80,220,229,224
210 - 219,616,1.10,51572,88.90,210,219,214
200 - 209,593,1.00,52165,89.90,200,209,204
190 - 199,542,0.90,52707,90.90,190,199,194
180 - 189,532,0.90,53239,91.80,180,189,184
170 - 179,528,0.90,53767,92.70,170,179,174
160 - 169,439,0.80,54206,93.40,160,169,164
150 - 159,370,0.60,54576,94.10,150,159,154
140 - 149,373,0.60,54949,94.70,140,149,144
130 - 139,380,0.70,55329,95.40,130,139,134
120 - 129,327,0.60,55656,95.90,120,129,124
110 - 119,234,0.40,55890,96.40,110,119,114
100 - 109,297,0.50,56187,96.90,100,109,104
000 - 099,1819,3.10,58006,100.00,0,99,49
