0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,923,1.60,923,1.60,625,625,625
610 - 624,841,1.50,1764,3.10,610,624,617
600 - 609,972,1.70,2736,4.80,600,609,604
590 - 599,411,0.70,3147,5.50,590,599,594
580 - 589,640,1.10,3787,6.70,580,589,584
570 - 579,1131,2.00,4918,8.70,570,579,574
560 - 569,1253,2.20,6171,10.90,560,569,564
550 - 559,1306,2.30,7477,13.20,550,559,554
540 - 549,1395,2.50,8872,15.60,540,549,544
530 - 539,1285,2.30,10157,17.90,530,539,534
520 - 529,1318,2.30,11475,20.20,520,529,524
510 - 519,1075,1.90,12550,22.10,510,519,514
500 - 509,1174,2.10,13724,24.20,500,509,504
490 - 499,1457,2.60,15181,26.70,490,499,494
480 - 489,1636,2.90,16817,29.60,480,489,484
470 - 479,1710,3.00,18527,32.60,470,479,474
460 - 469,1744,3.10,20271,35.70,460,469,464
450 - 459,1739,3.10,22010,38.80,450,459,454
440 - 449,1711,3.00,23721,41.80,440,449,444
430 - 439,1549,2.70,25270,44.50,430,439,434
420 - 429,1481,2.60,26751,47.10,420,429,424
410 - 419,1407,2.50,28158,49.60,410,419,414
400 - 409,1586,2.80,29744,52.40,400,409,404
390 - 399,1532,2.70,31276,55.10,390,399,394
380 - 389,1509,2.70,32785,57.70,380,389,384
370 - 379,1444,2.50,34229,60.30,370,379,374
360 - 369,1481,2.60,35710,62.90,360,369,364
350 - 359,1350,2.40,37060,65.30,350,359,354
340 - 349,1389,2.40,38449,67.70,340,349,344
330 - 339,1338,2.40,39787,70.10,330,339,334
320 - 329,1275,2.20,41062,72.30,320,329,324
310 - 319,1202,2.10,42264,74.40,310,319,314
300 - 309,1163,2.00,43427,76.50,300,309,304
290 - 299,1138,2.00,44565,78.50,290,299,294
280 - 289,1002,1.80,45567,80.20,280,289,284
270 - 279,980,1.70,46547,82.00,270,279,274
260 - 269,891,1.60,47438,83.50,260,269,264
250 - 259,765,1.30,48203,84.90,250,259,254
240 - 249,775,1.40,48978,86.20,240,249,244
230 - 239,624,1.10,49602,87.30,230,239,234
220 - 229,612,1.10,50214,88.40,220,229,224
210 - 219,532,0.90,50746,89.40,210,219,214
200 - 209,525,0.90,51271,90.30,200,209,204
190 - 199,499,0.90,51770,91.20,190,199,194
180 - 189,527,0.90,52297,92.10,180,189,184
170 - 179,470,0.80,52767,92.90,170,179,174
160 - 169,373,0.70,53140,93.60,160,169,164
150 - 159,360,0.60,53500,94.20,150,159,154
140 - 149,311,0.50,53811,94.80,140,149,144
130 - 139,299,0.50,54110,95.30,130,139,134
120 - 129,288,0.50,54398,95.80,120,129,124
110 - 119,208,0.40,54606,96.20,110,119,114
100 - 109,278,0.50,54884,96.60,100,109,104
000 - 099,1903,3.40,56787,100.00,0,99,49
