0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,577,1.00,577,1.00,625,625,625
610 - 624,577,1.00,1154,2.00,610,624,617
600 - 609,658,1.10,1812,3.10,600,609,604
590 - 599,243,0.40,2055,3.60,590,599,594
580 - 589,544,0.90,2599,4.50,580,589,584
570 - 579,862,1.50,3461,6.00,570,579,574
560 - 569,990,1.70,4451,7.70,560,569,564
550 - 559,1100,1.90,5551,9.60,550,559,554
540 - 549,1293,2.20,6844,11.90,540,549,544
530 - 539,1211,2.10,8055,14.00,530,539,534
520 - 529,1306,2.30,9361,16.30,520,529,524
510 - 519,821,1.40,10182,17.70,510,519,514
500 - 509,1142,2.00,11324,19.70,500,509,504
490 - 499,1597,2.80,12921,22.40,490,499,494
480 - 489,1644,2.90,14565,25.30,480,489,484
470 - 479,1696,2.90,16261,28.20,470,479,474
460 - 469,1778,3.10,18039,31.30,460,469,464
450 - 459,1710,3.00,19749,34.30,450,459,454
440 - 449,1688,2.90,21437,37.20,440,449,444
430 - 439,1382,2.40,22819,39.60,430,439,434
420 - 429,1494,2.60,24313,42.20,420,429,424
410 - 419,1475,2.60,25788,44.80,410,419,414
400 - 409,1468,2.50,27256,47.30,400,409,404
390 - 399,1490,2.60,28746,49.90,390,399,394
380 - 389,1533,2.70,30279,52.60,380,389,384
370 - 379,1479,2.60,31758,55.20,370,379,374
360 - 369,1461,2.50,33219,57.70,360,369,364
350 - 359,1394,2.40,34613,60.10,350,359,354
340 - 349,1508,2.60,36121,62.70,340,349,344
330 - 339,1423,2.50,37544,65.20,330,339,334
320 - 329,1338,2.30,38882,67.50,320,329,324
310 - 319,1348,2.30,40230,69.90,310,319,314
300 - 309,1255,2.20,41485,72.10,300,309,304
290 - 299,1182,2.10,42667,74.10,290,299,294
280 - 289,1173,2.00,43840,76.20,280,289,284
270 - 279,1091,1.90,44931,78.00,270,279,274
260 - 269,1068,1.90,45999,79.90,260,269,264
250 - 259,906,1.60,46905,81.50,250,259,254
240 - 249,816,1.40,47721,82.90,240,249,244
230 - 239,764,1.30,48485,84.20,230,239,234
220 - 229,745,1.30,49230,85.50,220,229,224
210 - 219,685,1.20,49915,86.70,210,219,214
200 - 209,638,1.10,50553,87.80,200,209,204
190 - 199,652,1.10,51205,88.90,190,199,194
180 - 189,651,1.10,51856,90.10,180,189,184
170 - 179,595,1.00,52451,91.10,170,179,174
160 - 169,508,0.90,52959,92.00,160,169,164
150 - 159,453,0.80,53412,92.80,150,159,154
140 - 149,411,0.70,53823,93.50,140,149,144
130 - 139,386,0.70,54209,94.20,130,139,134
120 - 129,436,0.80,54645,94.90,120,129,124
110 - 119,326,0.60,54971,95.50,110,119,114
100 - 109,346,0.60,55317,96.10,100,109,104
000 - 099,2252,3.90,57569,100.00,0,99,49
