0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,1342,2.30,1342,2.30,625,625,625
610 - 624,946,1.60,2288,3.90,610,624,617
600 - 609,1042,1.80,3330,5.70,600,609,604
590 - 599,380,0.70,3710,6.40,590,599,594
580 - 589,849,1.50,4559,7.90,580,589,584
570 - 579,1293,2.20,5852,10.10,570,579,574
560 - 569,1429,2.50,7281,12.60,560,569,564
550 - 559,1475,2.50,8756,15.10,550,559,554
540 - 549,1531,2.60,10287,17.80,540,549,544
530 - 539,1478,2.60,11765,20.30,530,539,534
520 - 529,1431,2.50,13196,22.80,520,529,524
510 - 519,1002,1.70,14198,24.50,510,519,514
500 - 509,1265,2.20,15463,26.70,500,509,504
490 - 499,1701,2.90,17164,29.60,490,499,494
480 - 489,1718,3.00,18882,32.60,480,489,484
470 - 479,1774,3.10,20656,35.60,470,479,474
460 - 469,1729,3.00,22385,38.60,460,469,464
450 - 459,1750,3.00,24135,41.60,450,459,454
440 - 449,1749,3.00,25884,44.70,440,449,444
430 - 439,1396,2.40,27280,47.10,430,439,434
420 - 429,1424,2.50,28704,49.50,420,429,424
410 - 419,1398,2.40,30102,51.90,410,419,414
400 - 409,1550,2.70,31652,54.60,400,409,404
390 - 399,1428,2.50,33080,57.10,390,399,394
380 - 389,1405,2.40,34485,59.50,380,389,384
370 - 379,1376,2.40,35861,61.90,370,379,374
360 - 369,1356,2.30,37217,64.20,360,369,364
350 - 359,1358,2.30,38575,66.60,350,359,354
340 - 349,1244,2.10,39819,68.70,340,349,344
330 - 339,1238,2.10,41057,70.80,330,339,334
320 - 329,1210,2.10,42267,72.90,320,329,324
310 - 319,1139,2.00,43406,74.90,310,319,314
300 - 309,1111,1.90,44517,76.80,300,309,304
290 - 299,1053,1.80,45570,78.60,290,299,294
280 - 289,1029,1.80,46599,80.40,280,289,284
270 - 279,894,1.50,47493,82.00,270,279,274
260 - 269,839,1.40,48332,83.40,260,269,264
250 - 259,773,1.30,49105,84.70,250,259,254
240 - 249,660,1.10,49765,85.90,240,249,244
230 - 239,620,1.10,50385,86.90,230,239,234
220 - 229,583,1.00,50968,87.90,220,229,224
210 - 219,582,1.00,51550,89.00,210,219,214
200 - 209,511,0.90,52061,89.80,200,209,204
190 - 199,537,0.90,52598,90.80,190,199,194
180 - 189,449,0.80,53047,91.50,180,189,184
170 - 179,448,0.80,53495,92.30,170,179,174
160 - 169,379,0.70,53874,93.00,160,169,164
150 - 159,327,0.60,54201,93.50,150,159,154
140 - 149,306,0.50,54507,94.10,140,149,144
130 - 139,304,0.50,54811,94.60,130,139,134
120 - 129,341,0.60,55152,95.20,120,129,124
110 - 119,244,0.40,55396,95.60,110,119,114
100 - 109,288,0.50,55684,96.10,100,109,104
000 - 099,2268,3.90,57952,100.00,0,99,49
