0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,207,0.40,207,0.40,625,625,625
610 - 624,244,0.40,451,0.80,610,624,617
600 - 609,330,0.60,781,1.40,600,609,604
590 - 599,134,0.20,915,1.60,590,599,594
580 - 589,319,0.60,1234,2.20,580,589,584
570 - 579,536,1.00,1770,3.20,570,579,574
560 - 569,644,1.10,2414,4.30,560,569,564
550 - 559,736,1.30,3150,5.60,550,559,554
540 - 549,829,1.50,3979,7.10,540,549,544
530 - 539,919,1.60,4898,8.70,530,539,534
520 - 529,1007,1.80,5905,10.50,520,529,524
510 - 519,609,1.10,6514,11.60,510,519,514
500 - 509,951,1.70,7465,13.30,500,509,504
490 - 499,1060,1.90,8525,15.20,490,499,494
480 - 489,1257,2.20,9782,17.40,480,489,484
470 - 479,1358,2.40,11140,19.90,470,479,474
460 - 469,1441,2.60,12581,22.40,460,469,464
450 - 459,1401,2.50,13982,24.90,450,459,454
440 - 449,1570,2.80,15552,27.70,440,449,444
430 - 439,1327,2.40,16879,30.10,430,439,434
420 - 429,1357,2.40,18236,32.50,420,429,424
410 - 419,1272,2.30,19508,34.80,410,419,414
400 - 409,1446,2.60,20954,37.40,400,409,404
390 - 399,1468,2.60,22422,40.00,390,399,394
380 - 389,1476,2.60,23898,42.60,380,389,384
370 - 379,1421,2.50,25319,45.20,370,379,374
360 - 369,1458,2.60,26777,47.80,360,369,364
350 - 359,1392,2.50,28169,50.20,350,359,354
340 - 349,1481,2.60,29650,52.90,340,349,344
330 - 339,1364,2.40,31014,55.30,330,339,334
320 - 329,1447,2.60,32461,57.90,320,329,324
310 - 319,1396,2.50,33857,60.40,310,319,314
300 - 309,1363,2.40,35220,62.80,300,309,304
290 - 299,1329,2.40,36549,65.20,290,299,294
280 - 289,1324,2.40,37873,67.50,280,289,284
270 - 279,1242,2.20,39115,69.80,270,279,274
260 - 269,1279,2.30,40394,72.00,260,269,264
250 - 259,1050,1.90,41444,73.90,250,259,254
240 - 249,994,1.80,42438,75.70,240,249,244
230 - 239,921,1.60,43359,77.30,230,239,234
220 - 229,918,1.60,44277,79.00,220,229,224
210 - 219,832,1.50,45109,80.40,210,219,214
200 - 209,843,1.50,45952,82.00,200,209,204
190 - 199,804,1.40,46756,83.40,190,199,194
180 - 189,854,1.50,47610,84.90,180,189,184
170 - 179,786,1.40,48396,86.30,170,179,174
160 - 169,704,1.30,49100,87.60,160,169,164
150 - 159,642,1.10,49742,88.70,150,159,154
140 - 149,548,1.00,50290,89.70,140,149,144
130 - 139,604,1.10,50894,90.80,130,139,134
120 - 129,580,1.00,51474,91.80,120,129,124
110 - 119,522,0.90,51996,92.70,110,119,114
100 - 109,513,0.90,52509,93.60,100,109,104
000 - 099,3562,6.40,56071,100.00,0,99,49
