0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,153,0.30,153,0.30,625,625,625
610 - 624,228,0.40,381,0.70,610,624,617
600 - 609,308,0.60,689,1.30,600,609,604
590 - 599,117,0.20,806,1.50,590,599,594
580 - 589,322,0.60,1128,2.10,580,589,584
570 - 579,533,1.00,1661,3.10,570,579,574
560 - 569,647,1.20,2308,4.20,560,569,564
550 - 559,800,1.50,3108,5.70,550,559,554
540 - 549,839,1.50,3947,7.30,540,549,544
530 - 539,820,1.50,4767,8.80,530,539,534
520 - 529,942,1.70,5709,10.50,520,529,524
510 - 519,578,1.10,6287,11.50,510,519,514
500 - 509,884,1.60,7171,13.20,500,509,504
490 - 499,1127,2.10,8298,15.20,490,499,494
480 - 489,1283,2.40,9581,17.60,480,489,484
470 - 479,1381,2.50,10962,20.10,470,479,474
460 - 469,1372,2.50,12334,22.70,460,469,464
450 - 459,1392,2.60,13726,25.20,450,459,454
440 - 449,1512,2.80,15238,28.00,440,449,444
430 - 439,1233,2.30,16471,30.30,430,439,434
420 - 429,1199,2.20,17670,32.50,420,429,424
410 - 419,1217,2.20,18887,34.70,410,419,414
400 - 409,1344,2.50,20231,37.20,400,409,404
390 - 399,1401,2.60,21632,39.70,390,399,394
380 - 389,1296,2.40,22928,42.10,380,389,384
370 - 379,1358,2.50,24286,44.60,370,379,374
360 - 369,1344,2.50,25630,47.10,360,369,364
350 - 359,1363,2.50,26993,49.60,350,359,354
340 - 349,1403,2.60,28396,52.20,340,349,344
330 - 339,1359,2.50,29755,54.70,330,339,334
320 - 329,1387,2.50,31142,57.20,320,329,324
310 - 319,1351,2.50,32493,59.70,310,319,314
300 - 309,1280,2.40,33773,62.00,300,309,304
290 - 299,1380,2.50,35153,64.60,290,299,294
280 - 289,1321,2.40,36474,67.00,280,289,284
270 - 279,1291,2.40,37765,69.40,270,279,274
260 - 269,1148,2.10,38913,71.50,260,269,264
250 - 259,1101,2.00,40014,73.50,250,259,254
240 - 249,930,1.70,40944,75.20,240,249,244
230 - 239,830,1.50,41774,76.70,230,239,234
220 - 229,848,1.60,42622,78.30,220,229,224
210 - 219,873,1.60,43495,79.90,210,219,214
200 - 209,902,1.70,44397,81.60,200,209,204
190 - 199,839,1.50,45236,83.10,190,199,194
180 - 189,847,1.60,46083,84.60,180,189,184
170 - 179,794,1.50,46877,86.10,170,179,174
160 - 169,656,1.20,47533,87.30,160,169,164
150 - 159,624,1.10,48157,88.50,150,159,154
140 - 149,623,1.10,48780,89.60,140,149,144
130 - 139,569,1.00,49349,90.60,130,139,134
120 - 129,558,1.00,49907,91.70,120,129,124
110 - 119,455,0.80,50362,92.50,110,119,114
100 - 109,553,1.00,50915,93.50,100,109,104
000 - 100,3525,6.50,54440,100.00,0,100,50
